,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
166,167,167,러브 몬스터 =이두온 장편소설 /Love monster ,지은이: 이두온,창비,2023,9788936438999,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31010/63/cover/8936438999_1.jpg,https://data4library.kr/bookV?seq=6632987,1155
167,168,168,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,"기시미 이치로,전경아 옮김",인플루엔셜,2014,9788996991342,13180,,189.2,철학 > 심리학 > 응용심리학 일반,https://bookthumb-phinf.pstatic.net/cover/083/399/08339910.jpg?type=m1&udate=20180616,https://data4library.kr/bookV?seq=2396926,1148
168,169,169,한 스푼의 시간 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스,2016,9788959130580,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/9131/24/cover/8959130583_1.jpg,https://data4library.kr/bookV?seq=3326576,1147
169,170,170,맡겨진 소녀 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 허진,다산북스,2023,9791130698199,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/31555/26/cover/k832832758_1.jpg,https://data4library.kr/bookV?seq=6681980,1144
170,171,171,동경 :김화진 장편소설 ,지은이: 김화진,문학동네,2024,9791141600785,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34132/96/cover200/k852931293_1.jpg,https://data4library.kr/bookV?seq=6891635,1138
171,172,172,목소리를 드릴게요 :정세랑 소설집 ,지은이: 정세랑,아작,2020,9791165300005,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/22246/11/cover/k842636722_1.jpg,https://data4library.kr/bookV?seq=5549987,1134
172,173,172,여름은 고작 계절 :김서해 장편소설 ,지은이: 김서해,위즈덤하우스,2025,9791171713929,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/36659/27/cover200/k712030086_1.jpg,https://data4library.kr/bookV?seq=7086304,1134
173,174,174,어른의 행복은 조용하다 ,글: 태수,페이지2북스,2024,9791169851053,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/35063/62/cover200/k532934196_1.jpg,https://data4library.kr/bookV?seq=6966282,1132
174,175,174,자몽살구클럽,한로로 (HANRORO) (지은이),어센틱,2025,9791199305304,,,,,https://image.aladin.co.kr/product/36808/37/cover200/k082030009_1.jpg,https://data4library.kr/bookV?seq=7095794,1132
175,176,176,제철 행복 :김신지 에세이 ,지은이: 김신지,인플루엔셜,2024,9791168341890,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/33842/43/cover200/k982930091_1.jpg,https://data4library.kr/bookV?seq=6865324,1125
176,177,177,브로콜리 펀치 :이유리 소설집 ,지은이: 이유리,문학과지성사,2021,9788932039114,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28210/51/cover/8932039119_1.jpg,https://data4library.kr/bookV?seq=6326236,1123
177,178,178,도시와 그 불확실한 벽 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,2023,9788954699075,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/32355/30/cover/8954699073_1.jpg,https://data4library.kr/bookV?seq=6753686,1116
178,179,179,녹나무의 파수꾼 =The camphorwood custodian ,저자: 히가시노 게이고 ;옮긴이: 양윤옥,소미미디어,2020,9791165075064,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/23456/86/cover/k362638685_1.jpg,https://data4library.kr/bookV?seq=5609821,1112
179,180,180,하우스 메이드 ,프리다 맥파든 지음 ;김은영 옮김,Book Plaza(북플라자),2023,9791190157551,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/31427/37/cover/k532832215_1.jpg,https://data4library.kr/bookV?seq=6668806,1110
180,181,181,가녀장의 시대 :이슬아 장편소설 ,지은이: 이슬아,문학동네,2022,9788954688796,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30261/10/cover/8954688799_1.jpg,https://data4library.kr/bookV?seq=6570833,1109
181,182,181,누굴 죽였을까 :정해연 장편소설 ,지은이: 정해연,교보문고,2024,9791170611028,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33516/50/cover/k902938557_1.jpg,https://data4library.kr/bookV?seq=6837916,1109
182,183,183,정의란 무엇인가 ,지은이: 마이클 샌델 ;옮긴이: 김명철,미래엔,2014,9788937834790,03300,,193,"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리",http://image.aladin.co.kr/product/10826/23/cover/k742530554_1.jpg,https://data4library.kr/bookV?seq=2763903,1108
183,184,183,나의 돈키호테 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2024,9791161571768,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33798/94/cover/k852930477_1.jpg,https://data4library.kr/bookV?seq=6862019,1108
184,185,185,"딸아, 돈 공부 절대 미루지 마라 :돈과 인생에 대한 가장 현실적인 조언 50 ",박소연 지음,메이븐,2023,9791190538572,03190,,327.04,사회과학 > 경제학 > 금융,https://image.aladin.co.kr/product/31657/95/cover/k092833678_1.jpg,https://data4library.kr/bookV?seq=6693602,1107
185,186,186,상실의 시대 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 유유정,문학사상,2011,9788970123691,03830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/000/203/00020349.jpg?type=m1&udate=20120904,https://data4library.kr/bookV?seq=863463,1105
186,187,186,"첫 여름, 완주 :김금희 장편소설 ",저자 : 김금희,무제,2025,9791197221989,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/36275/58/cover200/k692038832_1.jpg,https://data4library.kr/bookV?seq=7051689,1105
187,188,188,빛이 이끄는 곳으로 =백희성 장편소설 /La ou la lumiere me conduit ,지은이: 백희성,책읽어주는남자,2024,9791193937198,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34449/77/cover200/k052932333_1.jpg,https://data4library.kr/bookV?seq=6932136,1104
188,189,189,28 :정유정 장편소설 ,지은이: 정유정,은행나무,2013,9788956607030,03810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/072/241/07224178.jpg?type=m1&udate=20141022,https://data4library.kr/bookV?seq=1945948,1103
189,190,190,연남동 빙굴빙굴 빨래방 :김지윤 장편소설 ,지은이: 김지윤,팩토리나인,2023,9791165347734,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32131/89/cover/k742834302_1.jpg,https://data4library.kr/bookV?seq=6738246,1099
190,191,191,달까지 가자 :장류진 장편소설 ,지은이: 장류진,창비,2021,9788936434496,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/25967/86/cover/k122737220_1.jpg,https://data4library.kr/bookV?seq=5957041,1098
191,192,192,희망 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2020,9788998441081,03810,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24415/15/cover/899844108x_1.jpg,https://data4library.kr/bookV?seq=5701868,1095
192,193,193,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 ,"지은이: 한스 로슬링,옮긴이: 이창신",김영사,2019,9788934985068,03300,,331.1,"사회과학 > 사회학, 사회문제 > 사회학",https://image.aladin.co.kr/product/18456/45/cover/8934985062_1.jpg,https://data4library.kr/bookV?seq=5371595,1093
193,194,193,포스 윙 ,레베카 야로스 지음 ;이수현 옮김,미래엔,2024,9791168418455,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/34155/96/cover200/k192931590_1.jpg,https://data4library.kr/bookV?seq=6892687,1093
194,195,195,패배의 신호 ,지은이: 프랑수아즈 사강 ;옮긴이: 장소미,녹색광선,2022,9791196554866,03860,,863,문학 > 프랑스문학 > 소설,https://image.aladin.co.kr/product/28529/1/cover/k612835031_1.jpg,https://data4library.kr/bookV?seq=6365150,1081
195,196,196,포스트맨은 벨을 두 번 울린다 ,제임스 M. 케인 [지음] ;이만식 옮김,민음사,2007,9788937461699,04800,169,843,문학 > 영미문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/043/929/04392991.jpg?type=m1&udate=20150715,https://data4library.kr/bookV?seq=2181765,1071
196,197,197,노르웨이의 숲 =Noruuei no mori ,지은이: 무라카미 하루키 ;옮긴이: 양억관,민음사,2013,9788937463105,04800,310,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/072/855/07285591.jpg?type=m1&udate=20130904,https://data4library.kr/bookV?seq=2376426,1070
197,198,198,이기적 유전자 ,리처드 도킨스 지음 ;이상임 옮김,을유문화사,2018,9788932473901,03470,,491.51,자연과학 > 동물학 > 일반 동물학,https://image.aladin.co.kr/product/17048/25/cover/8932473900_1.jpg,https://data4library.kr/bookV?seq=3921678,1069
198,199,198,숨결이 바람 될 때 :서른여섯 젊은 의사의 마지막 순간 ,폴 칼라니티 지음 ;이종인 옮김,흐름출판,2016,9788965961956,03840,,848,문학 > 영미문학 > 르포르타주 및 기타,http://image.aladin.co.kr/product/8992/81/cover/8965961955_1.jpg,https://data4library.kr/bookV?seq=3289350,1069
199,200,200,스토너 :존 윌리엄스 장편소설 ,지은이: 존 윌리엄스 ;옮긴이: 김승욱,RHK(알에이치코리아),2015,9788925554990,03840,,843.5,문학 > 영미문학 > 소설,http://image.aladin.co.kr/product/5100/19/cover/8925554992_1.jpg,https://data4library.kr/bookV?seq=2617230,1068
