,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl,loan_count
43,44,44,오렌지와 빵칼 =청예 장편소설 /Orange and bread knife ,지은이: 청예,허블,2024,9791193078259,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34259/77/cover200/k852932962_1.jpg,https://data4library.kr/bookV?seq=6901042,2216
44,45,45,입속 지느러미 :조예은 장편소설 ,지은이: 조예은,한겨레엔,2024,9791172130633,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34002/54/cover200/k462930652_1.jpg,https://data4library.kr/bookV?seq=6879532,2212
45,46,46,비눗방울 퐁 :이유리 소설집 ,지은이: 이유리,민음사,2024,9788937428234,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35183/28/cover200/8937428237_1.jpg,https://data4library.kr/bookV?seq=6973602,2175
46,47,47,사랑과 결함 :예소연 소설 ,지은이: 예소연,문학동네,2024,9791141601102,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34366/96/cover200/k972932005_1.jpg,https://data4library.kr/bookV?seq=6922272,2118
47,48,48,파견자들 :김초엽 장편소설 ,지은이: 김초엽,퍼블리온,2023,9791191587524,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32591/29/cover/k352935549_1.jpg,https://data4library.kr/bookV?seq=6772199,2117
48,49,49,용의자 X의 헌신 ,히가시노 게이고 지음 ;양억관 옮김,재인,2017,9788990982704,03830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/124/818/12481857.jpg?type=m1&udate=20170914,https://data4library.kr/bookV?seq=3541024,2115
49,50,50,아이가 없는 집 ,지은이: 알렉스 안도릴 ;옮긴이: 유혜인,필름,2024,9791193262184,03850,,859.7,문학 > 독일문학 > 기타 게르만 문학,https://image.aladin.co.kr/product/34117/59/cover200/k962931994_1.jpg,https://data4library.kr/bookV?seq=6890223,2110
50,51,51,오로라 ,지은이: 최진영,위즈덤하우스,2024,9791168127500,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33464/10/cover/k652938849_1.jpg,https://data4library.kr/bookV?seq=6834576,2102
51,52,52,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은,민음사,2021,9788937473319,04810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/180/045/18004516.jpg?type=m1&udate=20210218,https://data4library.kr/bookV?seq=5882740,2080
52,53,52,돈은 좋지만 재테크는 겁나는 너에게 ,뿅글이 지음,첨단,2023,9788960306134,03320,,327.04,사회과학 > 경제학 > 금융,https://image.aladin.co.kr/product/30921/24/cover/8960306134_2.jpg,https://data4library.kr/bookV?seq=6627400,2080
53,54,54,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,9788986836240,03840,,843,문학 > 영미문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/030/257/03025716.jpg?type=m1&udate=20180227,https://data4library.kr/bookV?seq=2130072,2055
54,55,55,테디베어는 죽지 않아 :조예은 장편소설 ,지은이: 조예은,안전가옥,2023,9791193024225,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31862/4/cover/k292833420_1.jpg,https://data4library.kr/bookV?seq=6707466,2045
55,56,56,랑과 나의 사막 :천선란 소설 ,지은이: 천선란,H(현대문학),2022,9791167901354,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30395/18/cover/k572830160_1.jpg,https://data4library.kr/bookV?seq=6580839,2030
56,57,57,(EBS 다큐프라임) 자본주의 ,EBS MEDIA 기획 ;EBS <자본주의> 제작팀 지음,가나문화콘텐츠,2013,9788957365793,03320,,322.01,사회과학 > 경제학 > 경제정책,https://bookthumb-phinf.pstatic.net/cover/073/148/07314866.jpg?type=m1&udate=20170801,https://data4library.kr/bookV?seq=1975179,2028
57,58,58,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,9788936439651,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34712/24/cover200/8936439650_2.jpg,https://data4library.kr/bookV?seq=6950753,2010
58,59,59,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란,아작,2020,9791165508340,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24605/89/cover/k532631174_1.jpg,https://data4library.kr/bookV?seq=5708343,2000
59,60,60,혼모노 :성해나 소설집 ,지은이: 성해나,창비,2025,9788936439743,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/36101/66/cover200/893643974x_1.jpg,https://data4library.kr/bookV?seq=7035395,1999
60,61,61,자기 앞의 生 :에밀 아자르 장편소설 ,지은이: 에밀 아자르 ;옮긴이: 용경식,문학동네,2015,9788982816635,03860,,863,문학 > 프랑스문학 > 소설,http://image.aladin.co.kr/product/9751/78/cover/k472535448_1.jpg,https://data4library.kr/bookV?seq=279356,1993
61,62,62,적산가옥의 유령 :조예은 소설 ,지은이: 조예은,H(현대문학),2024,9791167902580,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34286/38/cover200/k592932077_1.jpg,https://data4library.kr/bookV?seq=6905353,1969
62,63,63,브람스를 좋아하세요 ,프랑수아즈 사강 [지음] ;김남주 옮김,민음사,2008,9788937461798,04800,179,863,문학 > 프랑스문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/045/694/04569434.jpg?type=m1&udate=20130412,https://data4library.kr/bookV?seq=2374505,1965
63,64,64,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,9791188331796,03320,,327.04,사회과학 > 경제학 > 금융,https://image.aladin.co.kr/product/24191/64/cover/k562639753_1.jpg,https://data4library.kr/bookV?seq=5678862,1963
64,65,65,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,03810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/107/859/10785953.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=3190615,1938
65,66,66,세이노의 가르침 :피보다 진하게 살아라 ,세이노 지음,데이원,2023,9791168473690,03190,,325.211,사회과학 > 경제학 > 경영관리,https://image.aladin.co.kr/product/30929/51/cover/k732831392_1.jpg,https://data4library.kr/bookV?seq=6628064,1917
66,67,67,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9791191056556,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg,https://data4library.kr/bookV?seq=5965665,1905
67,68,68,방금 떠나온 세계 :김초엽 소설집 ,지은이: 김초엽,한겨레엔,2021,9791160406504,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28170/22/cover/k032835560_1.jpg,https://data4library.kr/bookV?seq=6322276,1894
68,69,68,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,03190,,181.845,철학 > 심리학 > 각론,https://image.aladin.co.kr/product/18228/51/cover/k832534441_1.jpg,https://data4library.kr/bookV?seq=5368180,1894
69,70,70,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,03830,,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/15848/6/cover/k622533431_1.jpg,https://data4library.kr/bookV?seq=1902173,1816
70,71,71,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,2014,9788990982575,03830,,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/4745/51/cover/899098257x_2.jpg,https://data4library.kr/bookV?seq=2427470,1795
71,72,72,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ,코이케 류노스케 지음 ;박재현 옮김,콘텐츠그룹 포레스트,2024,9791193506516,03100,,224.2,"종교 > 불교 > 법어, 신앙록, 신앙생활",https://image.aladin.co.kr/product/33973/70/cover200/k682930444_1.jpg,https://data4library.kr/bookV?seq=6878420,1786
72,73,73,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong ,비욘 나티코 린데블라드 지음 ;박미경 옮김,다산북스,2022,9791130689890,03100,,220.4,종교 > 불교 > 불교,https://image.aladin.co.kr/product/29269/12/cover/k822837807_1.jpg,https://data4library.kr/bookV?seq=6445483,1772
73,74,74,싯다르타,헤르만 헤세 지음;박병덕 옮김,민음사,2002,9788937460586,04850,58,853,문학 > 독일문학 > 소설,http://image.aladin.co.kr/product/32/95/cover/8937460580_3.jpg,https://data4library.kr/bookV?seq=2404471,1759
74,75,75,내게 무해한 사람 :최은영 소설 ,지은이: 최은영,문학동네,2018,9788954651820,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/15133/51/cover/8954651828_1.jpg,https://data4library.kr/bookV?seq=3774162,1755
75,76,76,눈부신 안부 :백수린 장편소설 ,지은이: 백수린,문학동네,2023,9788954699372,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31688/62/cover/8954699375_1.jpg,https://data4library.kr/bookV?seq=6694629,1754
76,77,77,저주토끼 (리커버),정보라 (지은이),아작,2022,9791166686665,,,,,https://image.aladin.co.kr/product/29084/68/cover/k122836656_1.jpg,https://data4library.kr/bookV?seq=6424905,1749
77,78,78,삼체 =The three body ,류츠신 지음 ;허유영 옮김,자음과모음,2020,9788954442695,04820,1,823.7,문학 > 중국문학 > 소설,https://image.aladin.co.kr/product/28912/65/cover/8954442692_1.jpg,https://data4library.kr/bookV?seq=5708402,1729
78,79,79,참을 수 없는 존재의 가벼움 ,지은이: 밀란 쿤데라 ;옮긴이: 이재룡,민음사,2018,9788937437564,03860,,892.96,문학 > 기타 제문학 > 인도-유럽계문학,http://image.aladin.co.kr/product/15251/16/cover/8937437562_1.jpg,https://data4library.kr/bookV?seq=3788932,1724
79,80,80,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,9788936434267,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg,https://data4library.kr/bookV?seq=3423096,1716
80,81,81,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,2021,9791191056372,03320,,327.04,사회과학 > 경제학 > 금융,https://image.aladin.co.kr/product/25967/85/cover/k412737326_1.jpg,https://data4library.kr/bookV?seq=5846583,1699
81,82,82,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,03810,2,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29858/98/cover/k432838027_1.jpg,https://data4library.kr/bookV?seq=6529613,1685
82,83,83,치치새가 사는 숲 :장진영 장편소설 ,지은이: 장진영,민음사,2023,9788937473852,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32728/26/cover/8937473852_1.jpg,https://data4library.kr/bookV?seq=6778800,1678
83,84,84,부자 아빠 가난한 아빠 :20주년 특별 기념판 ,지은이: 로버트 기요사키 ;옮긴이: 안진환,민음인,2018,9791158883591,03320,,327.04,사회과학 > 경제학 > 금융,http://image.aladin.co.kr/product/13492/56/cover/k162532501_1.jpg,https://data4library.kr/bookV?seq=3701374,1670
84,85,85,날씨가 좋으면 찾아가겠어요 :이도우 장편소설 ,지은이: 이도우,시공사,2018,9788952791160,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/15411/84/cover/8952791169_1.jpg,https://data4library.kr/bookV?seq=3793737,1667
85,86,85,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,9788956604992,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/14712/55/cover/k202532053_1.jpg,https://data4library.kr/bookV?seq=1153285,1667
86,87,87,노르웨이의 숲 =Norwegian wood ,지은이: 무라카미 하루키 ;옮긴이: 양억관,민음사,2017,9788937434488,03830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/124/287/12428742.jpg?type=m1&udate=20170930,https://data4library.kr/bookV?seq=3535735,1662
87,88,88,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,9788936434243,03810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/113/062/11306271.jpg?type=m1&udate=20180117,https://data4library.kr/bookV?seq=3391014,1661
88,89,89,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,2023,9788901276533,03840,,848,문학 > 영미문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/32892/38/cover/8901276534_2.jpg,https://data4library.kr/bookV?seq=6793850,1660
89,90,90,유령의 마음으로 :임선우 소설집 ,지은이: 임선우,민음사,2022,9788937442698,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29154/60/cover/8937442698_1.jpg,https://data4library.kr/bookV?seq=6431218,1641
90,91,91,GV 빌런 고태경 :2020 한경신춘문예 당선작 ,지은이: 정대건,은행나무,2020,9791190492430,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/23800/67/cover/k842639085_1.jpg,https://data4library.kr/bookV?seq=5654855,1633
91,92,92,미키7 :에드워드 애슈턴 SF 장편소설 ,지은이: 에드워드 애슈턴 ;옮긴이: 배지혜,황금가지,2022,9791170521730,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/29857/51/cover/k202838025_1.jpg,https://data4library.kr/bookV?seq=6529616,1631
92,93,93,달러구트 꿈 백화점 :이미예 장편소설,지은이: 이미예,팩토리나인,2021,9791165343729,03810,2,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27587/47/cover/k962733015_1.jpg,https://data4library.kr/bookV?seq=6049391,1620
93,94,94,내가 되는 꿈 :최진영 장편소설 ,지은이: 최진영,H(현대문학),2021,9791190885621,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/26021/21/cover/k892738836_1.jpg,https://data4library.kr/bookV?seq=5928142,1619
94,95,95,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,9788936438838,03810,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/30048/51/cover/8936438832_1.jpg,https://data4library.kr/bookV?seq=6551957,1608
95,96,96,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ,강용수 지음,유노콘텐츠그룹,2023,9791192300818,03160,,165.47,"철학 > 서양철학 > 독일, 오스트리아철학",https://image.aladin.co.kr/product/32361/59/cover/k592935565_1.jpg,https://data4library.kr/bookV?seq=6754766,1598
96,97,97,비행운 :김애란 소설집 ,지은이: 김애란,문학과지성사,2012,9788932023151,03810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/1801/21/cover/8932023158_1.jpg,https://data4library.kr/bookV?seq=1855307,1595
97,98,97,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,9791167374561,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34499/81/cover200/k712932751_1.jpg,https://data4library.kr/bookV?seq=6934298,1595
98,99,99,이상한 집 ,우케쓰 지음 ;김은모 옮김,디앤씨미디어,2022,9791197708572,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/30346/94/cover/k252839542_1.jpg,https://data4library.kr/bookV?seq=6577035,1594
99,100,100,만조를 기다리며 :우리 숨바꼭질 기억해? ,지은이: 조예은,위즈덤하우스,2023,9791168127128,04810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31681/11/cover/k062833889_1.jpg,https://data4library.kr/bookV?seq=6693802,1580
100,101,101,나는 왜 남들보다 쉽게 지칠까 :무던해 보이지만 누구보다 예민한 HSP를 위한 심리학 ,최재훈 지음,서스테인,2024,9791193388075,03180,,182.12,철학 > 심리학 > 차이심리학,https://image.aladin.co.kr/product/34214/60/cover200/k482931035_1.jpg,https://data4library.kr/bookV?seq=6896698,1569
101,102,102,당신이 누군가를 죽였다 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,2024,9791170611561,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/34292/25/cover200/k692932177_1.jpg,https://data4library.kr/bookV?seq=6905647,1568
102,103,103,공룡의 이동 경로 :김화진 소설 ,지은이: 김화진,스위밍꿀,2023,9791196074470,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/32191/5/cover/k422834326_1.jpg,https://data4library.kr/bookV?seq=6742359,1567
103,104,104,사랑의 기술 ,에리히 프롬 지음 ;황문수 옮김,문예출판사,2019,9788931011623,03180,,181.71,철학 > 심리학 > 각론,https://image.aladin.co.kr/product/20329/93/cover/8931011628_1.jpg,https://data4library.kr/bookV?seq=5463382,1565
104,105,105,너의 유토피아 :정보라 소설집 ,지은이: 정보라,인플루엔셜,2025,9791168342569,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/35549/91/cover200/k752036371_1.jpg,https://data4library.kr/bookV?seq=7000596,1505
105,106,106,두고 온 여름 :성해나 소설 ,지은이: 성해나,창비,2023,9788936439002,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31294/95/cover/8936439006_1.jpg,https://data4library.kr/bookV?seq=6654295,1496
106,107,106,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,2013,9788954622035,03810,,813.62,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/072/622/07262295.jpg?type=m1&udate=20180314,https://data4library.kr/bookV?seq=1962014,1496
107,108,106,(The) money book :잘 살아갈 우리를 위한 금융생활 안내서 ,토스 엮음,비바리퍼블리카,2024,9791198686114,03320,,327.04,사회과학 > 경제학 > 금융,https://image.aladin.co.kr/product/34009/78/cover200/k772931867_1.jpg,https://data4library.kr/bookV?seq=6880703,1496
108,109,109,인간 실격,다자이 오사무 지음;김춘미 옮김,민음사,2004,9788937461033,04830,103,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/001/510/00151055.jpg?type=m1&udate=20130129,https://data4library.kr/bookV?seq=2376187,1484
109,110,109,재와 물거품 ,지은이: 김청귤,안전가옥,2021,9791191193114,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27256/81/cover/k192732699_1.jpg,https://data4library.kr/bookV?seq=5996596,1484
110,111,111,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ,마이클 샌델 지음 ;함규진 옮김,미래엔,2020,9791164136452,03300,,332.6,"사회과학 > 사회학, 사회문제 > 사회조직 및 제도",https://image.aladin.co.kr/product/25470/6/cover/k092633826_1.jpg,https://data4library.kr/bookV?seq=5791228,1474
111,112,112,서랍에 저녁을 넣어 두었다 :한강 시집 ,지은이: 한강,문학과지성사,2013,9788932024639,03810,,811.62,문학 > 한국문학 > 시,http://image.aladin.co.kr/product/3335/59/cover/8932024634_3.jpg,https://data4library.kr/bookV?seq=1991954,1470
112,113,113,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ,팀 페리스 지음 ;정지현 옮김,Tornado(토네이도),2017,9791158510619,03190,,325.211,사회과학 > 경제학 > 경영관리,http://image.aladin.co.kr/product/10590/57/cover/k162530537_1.jpg,https://data4library.kr/bookV?seq=3423727,1469
113,114,114,탕비실 :이미예 소설 ,지은이: 이미예,오팬하우스,2024,9791198809940,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34193/41/cover200/k602931315_1.jpg,https://data4library.kr/bookV?seq=6894621,1463
114,115,115,율의 시선 :김민서 장편소설 ,지은이: 김민서,창비,2024,9788936457259,43810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33858/83/cover200/893645725x_1.jpg,https://data4library.kr/bookV?seq=6869283,1461
115,116,116,당신은 결국 무엇이든 해내는 사람 :김상현 에세이 ,지은이: 김상현,필름(필름출판사),2022,9791188469994,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/29234/19/cover/k572837292_1.jpg,https://data4library.kr/bookV?seq=6441556,1458
116,117,117,회색 인간 ,지은이: 김동식,요다,2017,9791196222628,04810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/130/093/13009319.jpg?type=m1&udate=20180307,https://data4library.kr/bookV?seq=3680366,1444
117,118,117,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,9791197377143,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28685/95/cover/k362836265_1.jpg,https://data4library.kr/bookV?seq=6389692,1444
118,119,119,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ,글: 윤정은,북로망스,2023,9791191891287,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31222/5/cover/k562831250_2.jpg,https://data4library.kr/bookV?seq=6648006,1430
119,120,120,도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ,애나 렘키 지음 ;김두완 옮김,흐름출판,2022,9788965965046,03180,,181.71,철학 > 심리학 > 각론,https://image.aladin.co.kr/product/29125/5/cover/8965965047_1.jpg,https://data4library.kr/bookV?seq=6428072,1426
120,121,121,가재가 노래하는 곳 :델리아 오언스 장편소설 ,지은이: 델리아 오언스 ;옮긴이: 김선형,살림출판사,2019,9788952240569,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/19469/77/cover/8952240561_2.jpg,https://data4library.kr/bookV?seq=5429697,1419
121,122,122,광인 :이혁진 장편소설 ,지은이: 이혁진,민음사,2023,9788937454677,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33001/45/cover/893745467x_1.jpg,https://data4library.kr/bookV?seq=6804200,1413
122,123,122,행성어 서점 :김초엽 짧은 소설 ,지은이: 김초엽 ;그린이: 최인호,마음산책,2021,9788960907003,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/28219/93/cover/8960907006_1.jpg,https://data4library.kr/bookV?seq=6326208,1413
123,124,124,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,9791191043297,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/27407/79/cover/k362732558_1.jpg,https://data4library.kr/bookV?seq=6036502,1403
124,125,125,다정한 것이 살아남는다 ,"지은이: 브라이언 헤어,옮긴이: 이민아",디플롯,2021,9791197413025,03400,,182.4,철학 > 심리학 > 차이심리학,https://image.aladin.co.kr/product/27608/83/cover/k722733028_1.jpg,https://data4library.kr/bookV?seq=6060921,1402
125,126,126,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,9791191114225,03810,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29281/68/cover/k122837904_1.jpg,https://data4library.kr/bookV?seq=6446085,1383
126,127,127,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,9788934972464,03900,,909,"역사 > 역사 > 세계사, 세계문화사",https://bookthumb-phinf.pstatic.net/cover/097/807/09780781.jpg?type=m1&udate=20180721,https://data4library.kr/bookV?seq=3027835,1359
127,128,128,고래:천명관 장편소설,천명관 지음,문학동네,2004,9788982819278,03810,,813.6,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/014/849/01484987.jpg?type=m1&udate=20130128,https://data4library.kr/bookV?seq=828740,1356
128,129,129,고백 :미나토 가나에 장편소설 ,지은이: 미나토 가나에 ;옮긴이: 김선영,비채,2009,9788992036962,03830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/060/964/06096464.jpg?type=m1&udate=20180420,https://data4library.kr/bookV?seq=1007904,1353
129,130,130,직장 상사 악령 퇴치부 :이사구 연작소설집 ,지은이: 이사구,황금가지,2024,9791170523550,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/33464/16/cover/k882938849_1.jpg,https://data4library.kr/bookV?seq=6835059,1347
130,131,131,H마트에서 울다 ,미셸 자우너 지음 ;정혜윤 옮김,문학동네,2022,9788954683371,03840,,848,문학 > 영미문학 > 르포르타주 및 기타,https://image.aladin.co.kr/product/28962/10/cover/8954683371_1.jpg,https://data4library.kr/bookV?seq=6412735,1345
131,132,132,긴키 지방의 어느 장소에 대하여 :세스지 장편소설 ,지은이: 세스지 ;옮긴이: 전선영,오팬하우스,2025,9791194654063,03830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/36160/30/cover200/k472038888_1.jpg,https://data4library.kr/bookV?seq=7040759,1344
132,133,133,불안 ,지은이: 알랭 드 보통 ;정영목 옮김,은행나무,2012,9788956605593,03840,,332.6,"사회과학 > 사회학, 사회문제 > 사회조직 및 제도",https://bookthumb-phinf.pstatic.net/cover/067/930/06793081.jpg?type=m1&udate=20171011,https://data4library.kr/bookV?seq=1226611,1341
133,134,134,버드 스트라이크 :구병모 장편소설 ,지은이: 구병모,창비,2019,9788936434359,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/18564/54/cover/8936434357_1.jpg,https://data4library.kr/bookV?seq=5374564,1340
134,135,135,궤도 ,지은이: 서맨사 하비 ;옮긴이: 송예슬,서해문집,2025,9791194413394,03840,,843.6,문학 > 영미문학 > 소설,https://image.aladin.co.kr/product/36599/6/cover200/k212030767_1.jpg,https://data4library.kr/bookV?seq=7079323,1326
135,136,136,악마의 계약서는 만기 되지 않는다 :리러하 장편소설 ,지은이: 리러하,팩토리나인,2022,9791165345839,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29885/33/cover/k712838837_1.jpg,https://data4library.kr/bookV?seq=6535280,1301
136,137,137,여름의 빌라 :백수린 소설 ,지은이: 백수린,문학동네,2020,9788954673105,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/24489/98/cover/8954673104_1.jpg,https://data4library.kr/bookV?seq=5703910,1300
137,138,137,쓰게 될 것 :최진영 소설집 ,지은이: 최진영,안온(안온북스),2024,9791192638379,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/34127/18/cover200/k202931193_1.jpg,https://data4library.kr/bookV?seq=6890591,1300
138,139,139,너무나 많은 여름이 ,김연수 지음,레제,2023,9791196722012,03810,,813.62,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/31955/43/cover/k372833255_1.jpg,https://data4library.kr/bookV?seq=6718338,1293
139,140,140,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애,민음사,2000,9788937460449,04850,44,853,문학 > 독일문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/000/051/00005186.jpg?type=m1&udate=20160509,https://data4library.kr/bookV?seq=2374415,1291
140,141,141,노랜드 :천선란 소설집 ,지은이: 천선란,한겨레엔,2022,9791160404944,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/29647/97/cover/k862838785_1.jpg,https://data4library.kr/bookV?seq=6482649,1289
141,142,142,"궤도의 밖에서, 나의 룸메이트에게 :전삼혜 장편소설 ",지은이: 전삼혜,문학동네,2021,9788954679527,03810,,813.7,문학 > 한국문학 > 소설,https://image.aladin.co.kr/product/27171/17/cover/8954679528_1.jpg,https://data4library.kr/bookV?seq=5984123,1284
